"Location","String Value","String Representation","Data Type"
"82003aa0","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/PerfCounter.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/PerfCounter.cpp\"","ds"
"82003b00","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/PerfCounter.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/PerfCounter.cpp\"","ds"
"82003b60","Insufficient Memory","\"Insufficient Memory\"","ds"
"82003b74","Illegal Memory Access","\"Illegal Memory Access\"","ds"
"82003b8c","Win32 function returned an error","\"Win32 function returned an error\"","ds"
"82003bb0","Index out of bound","\"Index out of bound\"","ds"
"82003bc4","Duplicated key within the collection","\"Duplicated key within the collection\"","ds"
"82003bec","The item was in use\, and could not be deleted","\"The item was in use\, and could not be deleted\"","ds"
"82003c1c","The item was not found","\"The item was not found\"","ds"
"82003c34","An access beyond the end of the collection has occured","\"An access beyond the end of the collection has occured\"","ds"
"82003c6c","Object not initialized","\"Object not initialized\"","ds"
"82003c84","Feature not implemented","\"Feature not implemented\"","ds"
"82003c9c","IDGenerator is out of ID","\"IDGenerator is out of ID\"","ds"
"82003cb8","Internal Exception","\"Internal Exception\"","ds"
"82003ccc","Timeout occured","\"Timeout occured\"","ds"
"82003cdc","Child process could not be launched","\"Child process could not be launched\"","ds"
"82003d00","Invalid operation","\"Invalid operation\"","ds"
"82003d14","Multiple instances not allowed","\"Multiple instances not allowed\"","ds"
"82003d34","Multiple exception handlers not allowed","\"Multiple exception handlers not allowed\"","ds"
"82003d5c","This product has expired","\"This product has expired\"","ds"
"82003d78","Parameter out of range","\"Parameter out of range\"","ds"
"82003d90","Assertion Failed","\"Assertion Failed\"","ds"
"82003da4","Deadlock detected","\"Deadlock detected\"","ds"
"82003db8","RDV has not been initialized","\"RDV has not been initialized\"","ds"
"82003dd8","Invalid parameter","\"Invalid parameter\"","ds"
