"No.","Time","Source","Destination","Protocol","Length","Info"
"1376","328.404289","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1377","328.421977","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1378","329.179085","192.168.50.47","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1379","329.241228","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1380","329.414484","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1381","329.445640","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1382","329.726757","Intel_3f:d4:55","Broadcast","ARP","42","Who has 169.254.169.254? Tell 192.168.50.47 (duplicate use of 192.168.50.47 detected!)"
"1383","329.908787","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1384","330.194515","192.168.50.47","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1385","330.265205","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1386","330.404274","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1387","330.469938","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1388","330.527252","Intel_3f:d4:55","Broadcast","ARP","42","Who has 169.254.169.254? Tell 192.168.50.47 (duplicate use of 192.168.50.47 detected!)"
"1389","331.204538","192.168.50.47","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1390","331.289207","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1391","331.395126","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1392","331.518454","Intel_3f:d4:55","Broadcast","ARP","42","Who has 169.254.169.254? Tell 192.168.50.47 (duplicate use of 192.168.50.47 detected!)"
"1393","331.909766","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1394","332.108465","fe80::52eb:f6ff:fe89:7c68","ff02::1","ICMPv6","142","Router Advertisement from 50:eb:f6:89:7c:68"
"1395","332.207418","192.168.50.47","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1396","332.415456","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1397","332.620516","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1398","332.927572","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1399","333.439560","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1400","333.633524","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1401","333.915910","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1402","333.951569","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1403","334.463484","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1404","334.625073","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1405","334.873228","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1406","335.487501","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1407","335.634245","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1408","335.924300","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1409","336.409227","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1410","336.511171","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1411","337.433192","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1412","337.535524","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1413","337.934243","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1414","338.457173","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1415","338.559507","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1416","339.583530","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1417","339.944278","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1418","340.505148","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1419","341.119675","fe80::52eb:f6ff:fe89:7c68","ff02::1","ICMPv6","142","Router Advertisement from 50:eb:f6:89:7c:68"
"1420","341.529082","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1421","341.954313","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1422","342.553113","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1423","343.065134","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1424","343.577072","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1425","343.966392","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1426","343.986760","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1427","344.601043","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1428","345.010789","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1429","345.625109","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1430","345.983994","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1431","346.546722","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1432","346.649121","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1433","347.570733","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1434","347.673052","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1435","347.991564","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1436","348.594748","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1437","348.697064","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1438","349.106819","fe80::52eb:f6ff:fe89:7c68","ff02::1","ICMPv6","142","Router Advertisement from 50:eb:f6:89:7c:68"
"1439","349.618715","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1440","349.720844","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1441","349.994266","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1442","350.642703","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1443","350.745122","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1444","351.666724","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1445","351.871454","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1446","351.994283","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1447","352.690703","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1448","352.793159","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1449","353.510072","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1450","353.714724","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1451","353.919218","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1452","354.004218","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1453","354.516157","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1454","354.738685","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1455","354.840829","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1456","355.514244","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1457","355.762687","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1458","356.013687","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1459","356.377118","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1460","356.518118","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1461","356.684326","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1462","357.196402","fe80::52eb:f6ff:fe89:7c68","ff02::1","ICMPv6","142","Router Advertisement from 50:eb:f6:89:7c:68"
"1463","357.401093","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1464","357.605553","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.79? Tell 192.168.50.1"
"1465","357.708248","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1466","358.014211","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1467","358.322658","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
